stochastic_operation,script,library,seed_value,seed_mechanism,deterministic,purpose
RF-RFE feature selection,LSTM PSO FE.py / BiLSTM PSO FE.py + non-PSO scripts,scikit-learn RandomForestClassifier + RFE,42,explicit random_state=SEED passed to RandomForestClassifier,Yes,"Reproducible feature ranking; runs once non-PSO, 11x in PSO (10 CV folds + final)."
PSO swarm initialization,LSTM PSO FE.py / BiLSTM PSO FE.py,pyswarms.single.GlobalBestPSO,42,implicit via np.random.seed(SEED) before pyswarms is called,Yes (conditional on no other NumPy RNG consumption between np.random.seed and GlobalBestPSO),Reproducible initial swarm of 6 particles in 10-dim hyperparameter space.
PSO particle update steps,LSTM PSO FE.py / BiLSTM PSO FE.py,pyswarms.single.GlobalBestPSO,42,implicit via np.random.seed(SEED),Yes (conditional),"Reproducible PSO trajectory; 6 iterations; c1=1.5, c2=1.5, w=0.7; periodic boundary."
70/30 train/test stratified split,non-PSO LSTM/BiLSTM training script,sklearn train_test_split,42,explicit random_state=RANDOM_STATE,Yes,Reproducible held-out test partition for early model-comparison runs.
85/15 internal train/val split,all training scripts,sklearn train_test_split,42,explicit random_state=SEED,Yes,Reproducible validation set for EarlyStopping with restore_best_weights=True.
10-fold spatial GroupKFold partition,LSTM PSO FE.py / BiLSTM PSO FE.py,"sklearn GroupKFold + custom compute_block_ids(lat, lon, grid_km=50)",N/A,GroupKFold is deterministic given fixed lat/lon-derived group labels,Yes,"Partition training pool into 10 spatial zones; produces cv_oof_predictions.csv (n=3,351 OOF)."
Conv1D + LSTM/BiLSTM + Dense weight initialization,LSTM PSO FE.py / BiLSTM PSO FE.py + non-PSO scripts,TensorFlow / Keras default glorot_uniform,42,tf.keras.utils.set_random_seed(SEED) at top of script,Algorithmic Yes; bit-level only with enable_op_determinism() (not currently enabled),Reproducible initialization of all trainable weight tensors.
Dropout / recurrent dropout / SpatialDropout1D masks,all training scripts,TensorFlow / Keras layers,42,tf.keras.utils.set_random_seed(SEED),Algorithmic Yes; bit-level only with enable_op_determinism(),"Reproducible dropout regularization (PSO best: dropout 0.18-0.36, spatial_drop 0.08-0.25)."
Mini-batch shuffling per epoch,all training scripts,tf.keras Model.fit (shuffle=True),42,tf.keras.utils.set_random_seed(SEED),Algorithmic Yes; bit-level only with enable_op_determinism(),Reproducible batch ordering each epoch; PSO best batch in 32/64/128.
Non-parametric bootstrap resampling for 95% CIs,phase_b_bootstrap_ci.py,NumPy np.random.default_rng,42,explicit np.random.default_rng(42) on line 64 (independent RNG instance),Yes,"1000-resample percentile bootstrap of n=3,351 OOF predictions; produces T_metrics_bootstrap.csv."
